Product,Category,Price,Units_Sold,Month,Total_Sales
Laptop,Electronics,75000,12.0,January,900000.0
Mobile,Electronics,35000,25.0,January,875000.0
Tablet,Electronics,20000,18.0,January,360000.0
Headphones,Accessories,3000,40.0,January,120000.0
Smartwatch,Accessories,8000,22.0,January,176000.0
Charger,Accessories,1500,55.0,January,82500.0
Keyboard,Accessories,2500,30.0,January,75000.0
Monitor,Electronics,15000,10.0,January,150000.0
Mouse,Accessories,800,60.0,January,48000.0
Printer,Electronics,12000,8.0,January,96000.0
Laptop,Electronics,75000,15.0,February,1125000.0
Mobile,Electronics,35000,30.0,February,1050000.0
Tablet,Electronics,20000,35.0,February,1250000.0
Headphones,Accessories,3000,45.0,February,135000.0
Smartwatch,Accessories,8000,25.0,February,200000.0
Charger,Accessories,1500,60.0,February,90000.0
Keyboard,Accessories,2500,28.0,February,70000.0
Monitor,Electronics,15000,12.0,February,180000.0
Mouse,Accessories,800,25,20000,February,
Printer,Electronics,12000,9.0,February,108000.0
